iter	Passed	Remaining
0	50	50228
1	50	25351
2	51	17057
3	51	12902
4	52	10415
5	52	8755
6	53	7565
7	53	6673
8	54	5980
9	54	5429
10	55	5011
11	56	4649
12	57	4340
13	59	4181
14	60	3942
15	60	3721
16	60	3524
17	61	3348
18	61	3190
19	62	3048
20	62	2921
21	63	2812
22	63	2714
23	64	2615
24	64	2524
25	65	2439
26	65	2361
27	65	2288
28	66	2219
29	66	2156
30	67	2097
31	67	2042
32	67	1990
33	68	1940
34	68	1895
35	69	1851
36	69	1809
37	70	1773
38	71	1760
39	71	1726
40	72	1692
41	72	1661
42	73	1631
43	73	1600
44	74	1573
45	74	1545
46	74	1520
47	75	1497
48	76	1475
49	76	1451
50	76	1428
51	77	1409
52	77	1388
53	78	1367
54	78	1349
55	78	1330
56	79	1313
57	79	1295
58	80	1279
59	80	1263
60	81	1247
61	81	1232
62	81	1217
63	82	1202
64	82	1190
65	83	1187
66	84	1173
67	84	1157
68	84	1144
69	85	1133
70	85	1121
71	86	1109
72	86	1098
73	86	1087
74	87	1078
75	87	1067
76	88	1058
77	88	1049
78	89	1039
79	89	1030
80	89	1020
81	90	1011
82	90	1002
83	91	993
84	91	983
85	91	976
86	92	966
87	92	959
88	92	951
89	93	943
90	93	937
91	94	929
92	95	929
93	95	922
94	96	915
95	96	909
96	96	902
97	97	896
98	97	890
99	98	883
100	98	878
101	98	870
102	99	865
103	99	860
104	100	856
105	101	852
106	101	847
107	101	842
108	102	837
109	102	832
110	103	828
111	103	823
112	104	818
113	104	814
114	105	809
115	105	804
116	105	799
117	106	796
118	107	797
119	108	792
120	108	788
121	108	784
122	109	779
123	109	775
124	110	770
125	110	767
126	111	763
127	111	758
128	111	755
129	112	752
130	113	749
131	113	746
132	113	742
133	114	739
134	114	736
135	115	732
136	115	729
137	116	725
138	116	722
139	117	719
140	117	716
141	118	713
142	118	710
143	118	706
144	119	703
145	119	700
146	120	702
147	121	698
148	121	695
149	122	692
150	122	690
151	123	686
152	123	683
153	124	681
154	124	678
155	124	676
156	125	673
157	125	671
158	126	669
159	126	666
160	127	663
161	127	661
162	128	658
163	128	656
164	129	653
165	129	651
166	130	648
167	130	646
168	131	644
169	131	641
170	131	639
171	132	637
172	133	638
173	133	636
174	134	633
175	134	630
176	135	628
177	135	626
178	136	624
179	136	621
180	136	618
181	137	616
182	137	615
183	138	615
184	139	613
185	139	611
186	140	609
187	140	607
188	141	605
189	141	603
190	142	601
191	142	599
192	143	598
193	143	596
194	144	594
195	144	592
196	144	590
197	145	589
198	145	587
199	146	585
200	146	583
201	147	581
202	147	580
203	148	578
204	148	576
205	149	574
206	149	573
207	150	571
208	150	569
209	151	568
210	151	566
211	151	564
212	152	562
213	152	561
214	153	559
215	153	558
216	154	556
217	154	554
218	155	552
219	155	551
220	155	549
221	156	548
222	157	549
223	157	547
224	158	545
225	158	544
226	159	542
227	159	541
228	160	539
229	160	538
230	161	537
231	161	536
232	162	534
233	162	533
234	163	532
235	163	530
236	164	529
237	164	527
238	165	525
239	165	524
240	166	523
241	166	521
242	166	520
243	167	518
244	167	517
245	168	516
246	168	514
247	169	513
248	170	514
249	170	512
250	171	511
251	171	509
252	172	508
253	172	507
254	173	505
255	173	504
256	174	503
257	174	501
258	175	500
259	175	499
260	176	498
261	176	497
262	177	496
263	177	495
264	178	493
265	178	492
266	178	491
267	179	490
268	179	488
269	180	487
270	180	486
271	181	484
272	181	483
273	182	482
274	183	483
275	183	481
276	184	480
277	184	479
278	184	477
279	185	476
280	185	475
281	186	474
282	186	473
283	187	472
284	187	470
285	188	469
286	188	468
287	189	467
288	189	466
289	189	465
290	190	464
291	190	463
292	191	461
293	191	460
294	192	459
295	192	458
296	193	457
297	193	456
298	194	456
299	195	455
300	195	454
301	196	453
302	196	452
303	197	451
304	197	450
305	198	449
306	198	448
307	199	447
308	199	447
309	200	446
310	201	445
311	201	444
312	202	443
313	202	442
314	203	441
315	203	440
316	203	439
317	204	438
318	204	437
319	205	436
320	205	435
321	206	434
322	206	433
323	207	432
324	208	432
325	208	431
326	209	430
327	209	429
328	209	428
329	210	427
330	210	426
331	211	425
332	211	424
333	212	423
334	212	422
335	213	421
336	213	420
337	214	421
338	216	421
339	216	420
340	216	419
341	217	418
342	217	417
343	218	416
344	218	415
345	219	414
346	219	413
347	220	413
348	221	412
349	221	411
350	221	410
351	222	408
352	222	407
353	222	406
354	223	405
355	223	404
356	224	403
357	224	402
358	224	401
359	225	400
360	225	399
361	226	398
362	226	397
363	226	396
364	227	395
365	227	394
366	227	393
367	228	392
368	228	391
369	229	390
370	229	389
371	229	388
372	230	387
373	230	386
374	231	385
375	231	384
376	231	383
377	232	382
378	233	381
379	233	380
380	233	380
381	234	379
382	234	377
383	235	377
384	235	376
385	235	375
386	236	374
387	236	373
388	237	372
389	237	371
390	237	370
391	238	369
392	238	368
393	239	367
394	239	366
395	240	366
396	240	365
397	240	364
398	241	363
399	241	362
400	242	361
401	242	360
402	242	359
403	243	358
404	243	358
405	244	357
406	244	356
407	244	355
408	245	354
409	246	354
410	246	353
411	246	352
412	247	351
413	247	350
414	249	351
415	250	351
416	250	350
417	251	350
418	252	349
419	253	349
420	253	348
421	254	348
422	254	347
423	255	346
424	255	345
425	256	344
426	256	344
427	257	344
428	258	343
429	258	342
430	258	341
431	259	341
432	259	340
433	260	339
434	260	338
435	261	337
436	261	337
437	262	336
438	262	335
439	263	334
440	263	334
441	264	333
442	264	332
443	264	331
444	265	330
445	265	330
446	266	329
447	266	328
448	267	327
449	267	327
450	268	326
451	268	325
452	268	324
453	269	323
454	269	323
455	270	322
456	270	321
457	272	322
458	272	321
459	273	320
460	273	319
461	273	319
462	274	318
463	274	317
464	275	316
465	275	315
466	276	315
467	276	314
468	277	313
469	277	313
470	277	312
471	278	311
472	278	310
473	279	309
474	279	309
475	280	308
476	280	307
477	280	306
