iter	Passed	Remaining
0	0	704
1	1	655
2	1	631
3	2	608
4	3	626
5	3	607
6	4	579
7	4	555
8	4	539
9	5	533
10	5	521
11	6	530
12	6	522
13	7	515
14	7	508
15	8	509
16	8	508
17	9	502
18	9	497
19	10	491
20	10	487
21	11	493
22	11	492
23	12	497
24	13	539
25	14	533
26	14	526
27	14	520
28	15	514
29	16	518
30	16	514
31	16	511
32	17	506
33	17	502
34	18	497
35	18	492
36	18	488
37	19	484
38	19	481
39	19	477
40	21	502
41	22	503
42	22	508
43	23	506
44	23	503
45	24	506
46	24	502
47	25	498
48	25	495
49	25	492
50	26	489
51	26	486
52	27	483
53	27	480
54	27	477
55	28	475
56	28	472
57	28	469
58	29	467
59	29	464
60	30	462
61	30	460
62	30	459
63	31	457
64	31	454
65	32	453
66	32	451
67	32	449
68	33	447
69	33	445
70	33	443
71	34	441
72	34	439
73	35	438
74	35	436
75	37	450
76	37	449
77	37	448
78	38	447
79	38	446
80	39	444
81	39	442
82	39	438
83	40	437
84	40	435
85	40	434
86	41	432
87	41	431
88	42	429
89	42	428
90	42	426
91	43	425
92	43	423
93	43	422
94	44	420
95	44	419
96	44	417
97	45	416
98	45	415
99	46	414
100	46	414
101	46	412
102	47	411
103	47	410
104	48	409
105	48	408
106	48	407
107	49	406
108	49	404
109	49	403
110	50	402
111	50	401
112	52	413
113	53	412
114	54	415
115	54	414
116	54	412
117	55	411
118	55	410
119	55	409
120	56	408
121	56	406
122	56	405
123	57	405
124	57	404
125	58	403
126	58	401
127	58	400
128	59	399
129	59	398
130	59	397
131	60	396
132	60	396
133	61	395
134	61	394
135	62	393
136	62	392
137	62	392
138	63	390
139	63	390
140	63	389
141	64	387
142	64	386
143	64	385
144	65	384
145	65	383
146	66	383
147	66	383
148	67	383
149	67	383
150	68	382
151	68	382
152	68	381
153	69	380
154	69	379
155	70	379
156	70	378
157	70	377
158	71	376
159	71	375
160	71	373
161	72	372
162	72	372
163	72	371
164	73	370
165	73	369
166	74	369
167	74	369
168	74	368
169	75	367
170	75	367
171	76	366
172	76	366
173	77	366
174	77	365
175	78	365
176	78	364
177	78	364
178	79	364
179	80	364
180	81	367
181	81	367
182	82	366
183	82	366
184	83	366
185	83	365
186	84	365
187	84	364
188	84	364
189	85	363
190	85	363
191	86	363
192	86	362
193	87	362
194	87	362
195	88	361
196	88	361
197	89	361
198	89	360
199	90	360
200	90	359
201	91	359
202	91	358
203	92	359
204	93	360
205	93	360
206	93	359
207	94	359
208	94	359
209	95	358
210	95	358
211	96	358
212	96	357
213	97	357
214	97	356
215	98	356
216	98	355
217	99	355
218	103	367
219	103	366
220	103	365
221	104	365
222	104	364
223	105	363
224	106	367
225	107	368
226	108	368
227	108	367
228	108	366
229	109	366
230	109	365
231	110	365
232	110	364
233	111	364
234	111	364
235	112	363
236	112	362
237	113	362
238	113	361
239	114	363
240	115	365
241	116	364
242	116	363
243	117	363
244	117	362
245	118	361
246	118	361
247	118	360
248	119	359
249	119	358
250	119	357
251	121	359
252	121	358
253	122	359
254	122	358
255	123	358
256	123	357
257	124	357
258	124	356
259	124	355
260	125	354
261	125	354
262	126	353
263	126	352
264	126	352
265	127	351
266	127	350
267	128	349
268	128	349
269	128	348
270	129	349
271	131	351
272	131	350
273	132	350
274	132	349
275	133	348
276	133	348
277	133	347
278	134	346
279	134	346
280	135	346
281	136	346
282	136	345
283	137	345
284	137	344
285	137	344
286	138	343
287	138	342
288	138	341
289	139	341
290	139	340
291	139	339
292	140	338
293	140	337
294	141	337
295	141	336
296	141	335
297	142	334
298	142	333
299	142	333
300	143	332
301	143	331
302	143	330
303	145	333
304	146	332
305	146	332
306	146	331
307	147	330
308	147	329
309	147	329
310	148	328
311	148	327
312	148	326
313	149	326
314	149	325
315	150	325
316	150	324
317	151	324
318	151	323
319	151	322
320	152	322
321	152	321
322	153	320
323	153	320
324	153	319
325	154	319
326	154	318
327	155	317
328	155	317
329	157	319
330	157	318
331	158	318
332	158	317
333	158	317
334	159	316
335	159	316
336	160	315
337	161	315
338	161	315
339	162	315
340	163	315
341	163	314
342	163	313
343	164	313
344	164	312
345	165	312
346	165	311
347	165	310
348	166	310
349	166	309
350	166	308
351	167	308
352	167	307
353	168	306
354	168	306
355	170	308
356	170	307
357	171	307
358	171	306
359	172	306
360	172	305
361	172	304
362	173	304
363	174	304
364	174	303
365	175	303
366	175	302
367	176	302
368	176	302
369	176	301
370	177	300
371	177	300
372	178	299
373	178	298
374	178	297
375	179	297
376	179	296
377	179	295
378	180	295
379	180	294
380	180	293
381	181	293
382	181	292
383	181	291
384	182	291
385	182	290
386	182	289
387	183	289
388	185	290
389	185	290
390	185	289
391	186	288
392	186	288
393	186	287
394	187	286
395	187	286
396	188	285
397	188	285
398	189	285
399	189	284
400	190	283
401	190	283
402	190	282
403	191	282
404	191	281
405	191	280
406	192	280
407	192	279
408	193	279
409	193	278
410	194	278
411	194	277
412	194	276
413	195	276
414	195	275
415	196	275
416	196	274
417	197	274
418	197	274
419	198	273
420	198	272
421	198	272
422	199	271
423	199	271
424	200	270
425	200	270
426	201	269
427	201	269
428	202	269
429	204	271
430	205	271
431	206	270
432	206	270
433	206	269
434	207	269
435	207	268
436	208	268
437	209	268
438	209	268
439	210	267
440	210	267
441	211	266
442	211	266
443	212	266
444	213	266
445	214	266
446	214	265
447	215	265
448	215	264
449	216	264
450	216	263
451	217	263
452	217	263
453	218	262
454	218	262
455	219	261
456	219	261
457	220	260
458	220	260
459	221	259
460	221	259
461	222	258
462	222	258
463	223	258
464	223	257
465	224	256
466	224	256
467	225	256
468	226	256
